Security,Company Name,Bid Qty,Bid Price,Ask Price,Ask Qty,Last,Last Qty,Change,% Change,High,Low,VWA,Volume,Turnover,Trades,Price Close,Buy Sentiment,Time
ACL.N0000,ACL CABLES PLC,2605,106.75,107.00,137076,107.00,9,1.75,1.66,107.00,105.50,106.50,1534726,163441516.50,725,105.25,74.16%,13:29:03.301165
ASHO.N0000,LANKA ASHOK LEYLAND PLC,1,3960.25,3998.75,10,3998.75,10,68.75,1.75,4099.00,3950.25,4039.70,161,650391.25,23,3930.00,79.95%,13:27:08.080605
LIOC.N0000,LANKA IOC PLC,2400,139.00,139.75,100,139.00,500,2.50,1.83,140.00,136.50,138.49,206103,28543419.50,170,136.50,74.30%,13:24:15.584559
HNBF.N0000,HNB FINANCE PLC,100475,8.30,8.40,136751,8.30,625,0.20,2.47,8.50,8.20,8.36,982343,8210801.70,82,8.10,94.19%,13:16:24.731640
LLUB.N0000,CHEVRON LUBRICANTS LANKA PLC,50,194.50,195.00,1169,195.00,2,4.75,2.50,197.00,190.00,192.64,505941,97462731.25,202,190.25,93.40%,13:25:58.218950
HNB.X0000,HATTON NATIONAL BANK PLC [Non-Voting],1211,366.50,367.00,2347,366.50,1000,9.00,2.52,369.00,357.50,364.51,230072,83864601.50,230,357.50,78.55%,13:25:57.217221
CFI.N0000,COLOMBO FORT INVESTMENTS PLC,100,439.00,449.75,250,450.00,10,12.00,2.74,450.00,437.00,443.62,155,68760.50,7,438.00,91.10%,11:50:52.009013
PLC.N0000,PEOPLE S LEASING & FINANCE PLC,5510,26.10,26.20,1663,26.10,634,0.90,3.57,26.40,25.00,25.98,1411022,36652451.60,108,25.20,87.72%,13:26:02.625353
SMOT.N0000,SATHOSA MOTORS PLC,1,1661.00,1724.00,4,1730.00,1,79.75,4.83,1730.00,1730.00,1730.00,1,1730.00,1,1650.25,100%,13:01:54.299240
DIPD.N0000,DIPPED PRODUCTS PLC,1100,65.00,65.50,33101,65.50,10000,3.70,5.99,65.60,62.00,64.18,910086,58413108.90,244,61.80,77.07%,13:29:20.684452
DOCK.N0000,COLOMBO DOCKYARD PLC,7504,139.50,140.00,4990,140.00,10,26.25,23.08,162.00,118.00,134.58,17045030,2293934406.25,9999,113.75,60.69%,13:29:27.538
