Order Tracker,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Security,Side,Order Qty,Order Price,Order Value,Order Status,Remaining Qty,Reject Reason,Contra Broker,Account ID,Last Filled Quantity,Filled Qty,TIF,Expiry Date,Disclose Qty,Minimum Qty,Order Date and Time,Client Order Id,Last Change Time,Execution Id,Trader Report Id,Exchange Order Id,Exchange
DOCK.N0000,BUY,50,107.00,"5,350.00",NEW,50,,,CAS/92390-LI/0,0,0,DAY,,50,0,2026-01-19 07:53:44.0,92390LI0-woTI1AURT,2026-01-19 13:23:44,E0PyeI9GutxT,,O0PyeMzJU98A,CSE
DOCK.N0000,BUY,50,107.50,"5,375.00",NEW,50,,,CAS/92390-LI/0,0,0,DAY,,50,0,2026-01-19 07:53:29.0,92390LI0-wohmhqw62,2026-01-19 13:23:29,E0PyeI9Gutw1,,O0PyeMzJU96Q,CSE
DOCK.N0000,BUY,50,107.50,"5,375.00",P.CHANGE,50,,,CAS/92390-LI/0,0,0,DAY,2026-01-19,50,0,2026-01-19 13:23:04.0,92390LI0-wohmhqw62,2026-01-19 13:23:29,,,O0PyeMzJU96Q,CSE
DOCK.N0000,BUY,50,108.00,"5,400.00",NEW,50,,,CAS/92390-LI/0,0,0,DAY,,50,0,2026-01-19 07:53:04.0,92390LI0-woNYyRLWw,2026-01-19 13:23:04,E0PyeI9Guttl,,O0PyeMzJU96Q,CSE
DOCK.N0000,BUY,50,110.00,"5,500.00",FILLED,0,,FWS,CAS/92390-LI/0,50,50,DAY,,0,0,2026-01-19 07:46:05.0,92390LI0-woPZlbZM1,2026-01-19 13:16:06,E0PyeI9Gut7r,,O0PyeMzJU8Uc,CSE
DOCK.N0000,BUY,50,111.00,"5,550.00",FILLED,0,,FWS,CAS/92390-LI/0,50,50,DAY,,0,0,2026-01-19 07:46:05.0,92390LI0-wovqpWdOZ,2026-01-19 13:16:05,E0PyeI9Gut4P,,O0PyeMzJU8Tr,CSE
SMOT.N0000,BUY,3,"1,550.00","4,650.00",NEW,3,,,CAS/92390-LI/0,0,0,DAY,,3,0,2026-01-19 07:39:13.0,92390LI0-woM2aO720,2026-01-19 13:09:13,E0PyeI9GusQG,,O0PyeMzJU8YQ,CSE
DOCK.N0000,BUY,50,110.00,"5,500.00",NEW,50,,,CAS/92390-LI/0,0,0,DAY,,50,0,2026-01-19 07:37:41.0,92390LI0-woPZlbZM1,2026-01-19 13:07:41,E0PyeI9GusFc,,O0PyeMzJU8Uc,CSE
DOCK.N0000,BUY,50,111.00,"5,550.00",NEW,50,,,CAS/92390-LI/0,0,0,DAY,,50,0,2026-01-19 07:37:26.0,92390LI0-wovqpWdOZ,2026-01-19 13:07:26,E0PyeI9GusE0,,O0PyeMzJU8Tr,CSE
SMOT.N0000,BUY,5,"1,666.00","8,330.00",FILLED,0,,ASI,CAS/92390-LI/0,5,5,DAY,,0,0,2026-01-19 07:36:03.0,92390LI0-wo3IHM3bn,2026-01-19 13:06:03,E0PyeI9Gus3L,,O0PyeMzJU85c,CSE
SMOT.N0000,BUY,5,"1,666.00","8,330.00",FILLED,0,,ASI,CAS/92390-LI/0,5,5,DAY,,0,0,2026-01-19 07:36:03.0,92390LI0-woAADILWB,2026-01-19 13:06:03,E0PyeI9Gus3J,,O0PyeMzJU7yi,CSE
OSEA.N0000,BUY,100,46.90,"4,690.00",NEW,100,,,CAS/92390-LI/0,0,0,DAY,,100,0,2026-01-19 07:31:24.0,92390LI0-wowPvJSV1,2026-01-19 13:01:24,E0PyeI9GurQS,,O0PyeMzJU8En,CSE
